sex,age_group,mean_ghgs,std_ghgs
female,20-29,10.191268743064,2.191156297063279
female,30-39,10.421548409817,2.3496369537881705
female,40-49,11.242124224869,2.8726439268892423
female,50-59,11.574401589788,3.0341006822424372
female,60-69,11.520473391645,2.9975092551554123
female,70-79,11.990853394399,3.149254520516153
male,20-29,12.104782205645,2.5429124045889275
male,30-39,11.178862348943,2.386982795367379
male,40-49,11.493864090237999,2.6880079015076404
male,50-59,11.678040095756,2.826162751693423
male,60-69,11.450175664626,2.70608543946927
male,70-79,12.263987428482,3.1351324364754065
