sex,age_group,diet_group,label_code,mean_ghgs,n_participants,total_ghgs
female,40-49,meat100,1/40-49/5,11.242124224869,1935000,21753510.375121515
female,50-59,meat,1/50-59/4,7.586115661521999,2682000,20345962.204202004
female,50-59,meat100,1/50-59/5,11.574401589788,1753000,20289925.986898363
female,40-49,meat,1/40-49/4,7.4841513295410005,2710000,20282050.10305611
female,20-29,veggie,1/20-29/1,4.319955997758,3752000,16208474.903588016
female,30-39,veggie,1/30-39/1,4.367724164195001,3634000,15872309.61268463
female,40-49,veggie,1/40-49/1,4.386548303825,2696000,11826134.2271122
female,40-49,meat50,1/40-49/3,5.604987137323,2093000,11731238.078417039
female,60-69,meat,1/60-69/4,7.541230540435,1456000,10980031.66687336
female,30-39,fish,1/30-39/2,4.942664483793,2024000,10003952.915197032
female,50-59,meat50,1/50-59/3,5.74381054721,1698000,9752990.30916258
female,60-69,meat100,1/60-69/5,11.520473391645,843000,9711759.069156734
female,30-39,meat,1/30-39/4,7.135581666559999,1350000,9633035.249856
female,40-49,fish,1/40-49/2,4.927040172677,1689000,8321770.851651453
female,30-39,meat50,1/30-39/3,5.489000437973,1483000,8140187.649513959
female,30-39,meat100,1/30-39/5,10.421548409817,778000,8107964.662837626
male,40-49,meat100,0/40-49/5,11.493864090237999,616000,7080220.279586608
male,50-59,meat100,0/50-59/5,11.678040095756,591000,6901721.696591796
female,20-29,fish,1/20-29/2,4.902947125081,1329000,6516016.729232649
male,60-69,meat100,0/60-69/5,11.450175664626,543000,6217445.385891918
female,60-69,meat50,1/60-69/3,5.861660341356,1047000,6137158.377399732
male,30-39,veggie,0/30-39/1,4.807758162692999,1221000,5870272.716648153
female,50-59,veggie,1/50-59/1,4.370471444328,1203000,5257677.147526584
male,50-59,meat,0/50-59/4,7.752900129514,671000,5202195.986903894
male,40-49,meat,0/40-49/4,7.7815126207650005,663000,5159142.867567195
male,60-69,meat,0/60-69/4,7.835827297245,634000,4967914.50645333
female,50-59,fish,1/50-59/2,4.9443203337909996,946000,4677327.035766286
female,20-29,meat,1/20-29/4,6.913346378262,669000,4625028.727057278
male,40-49,veggie,0/40-49/1,4.610379492209,961000,4430574.692012849
female,20-29,meat50,1/20-29/3,5.38615768943,764000,4115024.47472452
female,20-29,meat100,1/20-29/5,10.191268743064,393000,4005168.616024152
female,70-79,meat,1/70-79/4,7.611196494765,450000,3425038.42264425
female,70-79,meat100,1/70-79/5,11.990853394399,274000,3285493.830065326
male,20-29,veggie,0/20-29/1,4.899777121339,646000,3165256.020384994
male,30-39,meat100,0/30-39/5,11.178862348943,260000,2906504.21072518
male,40-49,meat50,0/40-49/3,5.8985248148350005,448000,2642539.11704608
female,60-69,fish,1/60-69/2,5.103822518681,492000,2511080.679191052
male,50-59,meat50,0/50-59/3,5.932798636723,410000,2432447.44105643
female,60-69,veggie,1/60-69/1,4.472485087662,536000,2397252.006986832
male,30-39,meat,0/30-39/4,7.594977983203,304000,2308873.306893712
male,40-49,fish,0/40-49/2,5.2018026093489995,432000,2247178.727238768
female,70-79,meat50,1/70-79/3,5.8360413618399996,381000,2223531.75886104
male,30-39,fish,0/30-39/2,5.327205952942,412000,2194808.852612104
male,30-39,meat50,0/30-39/3,5.9230542061469995,370000,2191530.05627439
male,60-69,meat50,0/60-69/3,5.921724590470999,364000,2155507.750931444
male,70-79,meat100,0/70-79/5,12.263987428482,168000,2060349.887984976
male,50-59,veggie,0/50-59/1,4.455095310198001,426000,1897870.602144348
male,70-79,meat,0/70-79/4,8.023873929639,231000,1853514.877746609
male,20-29,meat100,0/20-29/5,12.104782205645,132000,1597831.25114514
female,70-79,veggie,1/70-79/1,4.4734452564780005,289000,1292825.679122142
female,20-29,vegan,1/20-29/0,2.383216383473,487000,1160626.378751351
male,20-29,meat,0/20-29/4,7.387087141033,151000,1115450.158295983
male,50-59,fish,0/50-59/2,5.142355789303,214000,1100464.138910842
male,60-69,veggie,0/60-69/1,4.44484358452,229000,1017869.18085508
female,70-79,fish,1/70-79/2,4.990762890714,195000,973198.76368923
female,30-39,vegan,1/30-39/0,2.540393020847,376000,955187.775838472
male,20-29,fish,0/20-29/2,5.659688871226,163000,922529.286009838
male,70-79,meat50,0/70-79/3,6.126166528464,143000,876041.813570352
male,60-69,fish,0/60-69/2,5.153826680613,159000,819458.442217467
male,20-29,meat50,0/20-29/3,5.842741220846,131000,765399.099930826
male,70-79,veggie,0/70-79/1,4.612451445292001,158000,728767.328356136
male,30-39,vegan,0/30-39/0,2.698172418304,251000,677241.276994304
female,40-49,vegan,1/40-49/0,2.657602421868,219000,582014.930389092
male,20-29,vegan,0/20-29/0,2.84322830886,198000,562959.20515428
male,40-49,vegan,0/40-49/0,2.694366019617,165000,444570.393236805
male,70-79,fish,0/70-79/2,5.303953641929,68000,360668.847651172
female,50-59,vegan,1/50-59/0,2.520496825096,106000,267172.663460176
female,60-69,vegan,1/60-69/0,2.633644804226,81000,213325.229142306
male,50-59,vegan,0/50-59/0,2.524737409503,62000,156533.719389186
male,60-69,vegan,0/60-69/0,2.427010725764,52000,126204.557739728
female,70-79,vegan,1/70-79/0,2.839875594178,25000,70996.88985445
male,70-79,vegan,0/70-79/0,2.587986805198,19000,49171.749298762
